微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
QeHdriQVC,":【正片】何同学×罗永浩！青年何同学的骄傲与烦恼
何同学有着精干而稍显瘦小的身躯，可他面对的一切似乎都是巨大的。巨大的流量、赞赏和争议，他像一个被选中的年轻人，时代的浪潮向他疯狂涌来。在滔天的风浪中，他总是能够沉住气精心策划出好内容，用对内容的执着构筑起一道防线，那是他的堡垒、他的骄傲，也是他漂洋过海的小船。他总是说自己很幸运，尽管他并不知道迎接他的会是什么。船在继续往前走着，他有时候也茫然，但他知道他要去到哪里。
《罗永浩的十字路口》第十一期，我们和何同学聊聊他的视频和一些刻骨铭心的成长。
#何同学对谈罗永浩# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口等人的共创视频",,无,"https://f.video.weibocdn.com/o0/5Oafompjlx08t6s2Tsj60104120kx6jR0E080.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200802&ssig=uN%2FohBhsYr&KID=unistore,video",无,2025-11-20 12:00,微博视频号,1716,469,286
Qeybhvm04,录制时我一直在由衷夸赞何同学，因为他确实是个很好的年轻人。11 月 20 日中午 12 点，看看他身上有哪些闪光点。#何同学对谈罗永浩# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/Pyvn9ooslx08t5ccJmec010412001SEc0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200802&ssig=sTSxVeOHh%2F&KID=unistore,video",无,2025-11-19 13:00,微博视频号,611,47,112
QexZ6t7Bj,和很多人记忆里的场面不同，这次是坐在我对面的那个人，掏出了一摞PPT......11 月 20 日中午 12 点，看看何同学的 PPT 里到底写了什么。#何同学对谈罗永浩# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/cmeFqoGzlx08t5c5PXP2010412002tzy0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200802&ssig=ygc9eJlUCO&KID=unistore,video",无,2025-11-19 12:30,微博视频号,460,17,82
QexMVpM2U,原来何同学真的是“有备而来”。11 月 20 日中午 12 点，看看他给我带来什么样让人意外的“小礼物”。#何同学对谈罗永浩# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/xHUbGnEYlx08t5bZ6zU401041200419E0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200803&ssig=IABNFmZi44&KID=unistore,video",无,2025-11-19 12:00,微博视频号,556,29,114
QdtNserkA,【音频版】魔术大师刘谦×罗永浩！你所不知道的刘谦播客《罗永浩的十字路口》第十期，微博音频完整版已经上线，欢迎收听。#刘谦给罗永浩揭秘自己的魔术# #罗永浩深度长谈播客# #声音引力场# #2025微博音频创享日# #微博声浪计划# #听见微博# #罗永浩的十字路口# 罗永浩的十字路口的微博音频  ,,无,无,无,2025-11-12 12:00,微博音频,436,48,97
Qdn7r8yCM,魔术大师刘谦十字路口播客现场表演魔术，我人生的“高光时刻”。#刘谦给罗永浩揭秘自己的魔术# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/uyXObrsDlx08sTCeVLQI01041200uE5M0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200810&ssig=6n%2FRDdiGaL&KID=unistore,video",无,2025-11-11 19:00,微博视频号,379,32,56
QdmVg8vCt,六百多位清华学子，见证刘谦的独特演讲#刘谦给罗永浩揭秘自己的魔术# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/n7ynVlDPlx08sS8oCUi4010412006Wqy0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200810&ssig=eEwrhl2QsX&KID=unistore,video",无,2025-11-11 18:30,微博视频号,163,8,8
QdmJ4z2zw,刘谦：我不用托的原因是……#刘谦给罗永浩揭秘自己的魔术# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/Xpn7tPTslx08sS86ip4A010412007OA10E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200811&ssig=clIFyiqlF%2F&KID=unistore,video",无,2025-11-11 18:00,微博视频号,623,27,59
QdmwUaEiF,刘谦回忆：那一位“夜场魔术之王”#刘谦给罗永浩揭秘自己的魔术# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/NYf0bG8Flx08sS87xAoM01041200hpv80E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200811&ssig=Zyvce9u%2FlW&KID=unistore,video",无,2025-11-11 17:30,微博视频号,164,12,20
QdmkJ7iEQ,刘谦：Bang！他就变出一个冰块。#刘谦给罗永浩揭秘自己的魔术# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/zxAIlMA8lx08sS7ZqP3a01041200beO40E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200812&ssig=aPhQujwCdI&KID=unistore,video",无,2025-11-11 17:00,微博视频号,675,86,75
Qdlc6rK4P,":【正片】魔术大师刘谦×罗永浩！你所不知道的刘谦
魔术大师刘谦把魔术分为两种，一种是观众看了会说“哇，好厉害，你怎么做到的？”还有一种是观众会觉得，“天呐！这不可能！刚刚发生了什么？！” 他说，后一种，会给在场的人留下回味终生的绝妙体验。
@刘谦 是彻底的唯物主义魔术师，可他一直致力于给观众的心里留下魔法的踪迹。在这个超长的访谈中，他通过一连串让人拍案叫绝的故事和令人头皮发麻的演绎，完成了对魔术的正本清源和深度揭秘，阐述了他对这个行业的深刻理解和终极追求。也给我们心中所谓魔术的价值和意义，赋予了一层前所未有的认知。
#刘谦给罗永浩揭秘自己的魔术# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口等人的共创视频",,无,"https://f.video.weibocdn.com/o0/ZMF6PCgylx08sTn7ROcU0104120tWGTm0E0b0.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200815&ssig=K3UfN1abRm&KID=unistore,video",无,2025-11-11 14:06,微博视频号,2854,713,438
QdbJaFiqC,当魔术大师要一次性把所有秘密和盘托出……11 月 11 日中午 12 点，郑重建议你千万不要错过 @刘谦 先生说的每一句话。#刘谦给罗永浩揭秘自己的魔术# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/8ByMrUxIlx08sRKkSyhq010412001U5C0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200816&ssig=Celzdbzndk&KID=unistore,video",无,2025-11-10 14:00,微博视频号,400,31,95
QdbwZnFyz,为这期访谈，临时设计了一个极度“装X”的开场，结果有些出乎意料......11 月 11 日中午 12 点，来看 @刘谦 和我这场全程都挺出乎意料的对谈。#刘谦给罗永浩揭秘自己的魔术# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/5L3uu2ALlx08sRKexx9601041200311g0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200816&ssig=a38t95Em9%2F&KID=unistore,video",无,2025-11-10 13:30,微博视频号,280,7,42
QdbkOueFM,魔术大师一对一为你表演魔术是什么体验？11 月 11 日中午 12 点，来见证我人生的“高光时刻”。@刘谦#刘谦给罗永浩揭秘自己的魔术# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/RzgcgZPqlx08sRHPDiuc0104120038Tt0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200817&ssig=IAJSQ%2FcYzU&KID=unistore,video",无,2025-11-10 13:00,微博视频号,308,65,50
Qdb8BrcF7,让魔术大师刘谦都自叹不如的江湖奇人有多厉害？11 月 11 日中午 12 点，听 @刘谦 为你揭秘顶尖魔术师的奇闻逸事。#刘谦给罗永浩揭秘自己的魔术##罗永浩深度长谈播客##罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/kUA3XykJlx08sRHteuli010412004TfG0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200817&ssig=YzEjy2htzL&KID=unistore,video",无,2025-11-10 12:29,微博视频号,317,39,68
QdaWsrXEH,刘谦对于拟声词的运用水平丝毫不亚于他的魔术水平。11 月 11 日中午 12 点，来见证比你想象中更有趣的 @刘谦 老师。#刘谦给罗永浩揭秘自己的魔术# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/ZWB9rwpBlx08sRBnXhUQ010412003UFo0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200818&ssig=FzLOxWt9jN&KID=unistore,video",无,2025-11-10 12:00,微博视频号,566,44,120
Qd19EsoaN,携手@传祺向往 联袂呈献：《谈判专家》#罗永浩年度大片上映# 完整版！只卖17 .98万的#传祺向往S7# PRO+系列，配置远超期待，价格难以置信，还要啥自行车？ 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/C2aFHUXSlx08sPWDZOXC01041200Z7vc0E010.mp4?label=mp4_hd&template=1132x480.25.0&Expires=1766200818&ssig=DzTG%2BVpR2I&KID=unistore,video",无,2025-11-09 11:05,微博视频号,2708,206,221
Qcqco0v23,一个视频讲清楚，为什么叫净烟机不叫油烟机。#是净烟机不是油烟机# #净烟机敞开炒# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/mkaSHq2plx08sJOKg9JC01041200n59e0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200819&ssig=zRmji70N%2FA&KID=unistore,video",无,2025-11-05 13:00,微博视频号,1790,147,166
QcpO3gKKP,究竟是什么新玩意，解决了我想吃口热锅现炒的难题？#是净烟机不是油烟机# #净烟机敞开炒# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/r7NNcUqClx08sIJOWnBK010412010pNh0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200819&ssig=9ScyKLwvcW&KID=unistore,video",无,2025-11-05 12:00,微博视频号,3004,193,338
QcjvQpeON,唉，那些胡搅蛮缠的￼精神病甚至分不清月经羞耻，月经侮辱，和月经尴尬之间的区别……￼￼ 不知道该同情还是该骂人￼  ,,无,无,无,2025-11-04 19:58,微博轻享版,1154,35,246
QbXD06tm1,为什么大家不断强调专注的力量，同时现代企业越来越流行大开间办公呢？就连最需要专注写代码的软件工程师的工区也是一样。  ,,无,无,无,2025-11-02 12:16,微博网页版,2935,123,462
QbEFvpIXh,细红线科技产品经理招聘细红线科技招聘资深互联网产品经理（5 人）产品经理 - AI 方向（5 人）产品经理 - 数据分析方向（5 人）社区运营（3 人）产品实习生（若干）工作地点：上海简历投递邮箱：pm@thinredline.com.cn#招聘##上海招聘##产品经理##招聘##AI#  原图 ,,https://wx1.sinaimg.cn/large/008tj0GNgy1i6vf9flhqoj30ric7ku10.jpg,无,无,2025-10-31 12:00,无,798,59,250
Qbvf00AFX,【音频版】贾樟柯×罗永浩！成为贾樟柯（上）播客《罗永浩的十字路口》第九期，微博音频完整版已经上线，欢迎收听。#罗永浩深情表白贾樟柯# #罗永浩深度长谈播客# #声音引力场# #2025微博音频创享日# #微博声浪计划# #听见微博# #罗永浩的十字路口# 罗永浩的十字路口的微博音频  ,,无,无,无,2025-10-30 12:00,微博音频,370,43,78
QbvcXAwhr,2025微博V影响力大会线上评选  ,,无,无,无,2025-10-30 11:55,微博品牌活动,654,22,116
QboL9vcop,贾樟柯回忆：那是一次正义的肢体冲突#罗永浩深情表白贾樟柯# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/Me6Q0t9Nlx08syUCTEtO010412007G4K0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200820&ssig=lFvBikeTtk&KID=unistore,video",无,2025-10-29 19:30,微博视频号,599,51,61
QboyYBJYy,贾樟柯回忆童年经历：同学他妈拿把猎枪就找我来了#罗永浩深情表白贾樟柯# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/K3EK0wr3lx08syUpzB0k010412004xGe0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200820&ssig=Tqusfe5oEb&KID=unistore,video",无,2025-10-29 19:00,微博视频号,119,3,19
QbomNj1Hs,贾樟柯回忆自己的中学校长：他是个教育家。#罗永浩深情表白贾樟柯# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/rFBZpvgClx08syTIlJUQ0104120044RR0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200821&ssig=7%2F3KFAomsl&KID=unistore,video",无,2025-10-29 18:30,微博视频号,132,10,20
QboaDhI3t,贾樟柯回忆早年帮助自己的贵人，声音一度哽咽。#罗永浩深情表白贾樟柯# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/lN3151gNlx08syTjAK2c01041200564v0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200831&ssig=3MrhZxNfQR&KID=unistore,video",无,2025-10-29 18:00,微博视频号,255,22,29
QbnYrqEuf,罗永浩深情表白贾樟柯：不是每个时代都有一个贾樟柯。#罗永浩深情表白贾樟柯# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/sY4CVKG3lx08syRP05sI010412003KZv0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200831&ssig=kDc4faHdyU&KID=unistore,video",无,2025-10-29 17:30,微博视频号,377,20,42
QbnMYnS67,贾樟柯谈自己的“性感英语”：在柏林，他们都叫我 Mr.OK#罗永浩深情表白贾樟柯##罗永浩深度长谈播客##罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/1FKZGV8hlx08syRtmJUI010412006iv90E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200832&ssig=3HlUh2js8j&KID=unistore,video",无,2025-10-29 17:01,微博视频号,184,12,24
QblOw3Svm,":【正片】贾樟柯×罗永浩！成为贾樟柯（上）
在多数镜头都在追逐都市霓虹和英雄传奇时，贾樟柯的摄像机却始终对准他脚下的土地。他的电影画面中鲜少出现激烈的冲突，有的只是山西小城里随处可见的煤矿、摩托车、县城歌舞团、终日无所事事的少年，以及巨变的大时代背景下，一些踉踉跄跄，不知所措的身影。这些被宏大叙事忽略的人与事，在他的取景框里发出了低沉有力的轰鸣，让山西县城的天空和威尼斯的夜晚一起震颤。
《罗永浩的十字路口》第九期，我们的嘉宾是导演贾樟柯。和贾樟柯对谈，就好像在看贾樟柯的电影。他的讲述如同他的镜头语言，真实，质朴，平静，偶尔有些跳跃，一如既往蕴藏着触碰心弦的力量。跟随他的叙述，我们将一起见证，那个曾经徘徊在汾阳街头的“问题少年”，是如何抵达威尼斯，并走到金狮奖的聚光灯下的。
#罗永浩深情表白贾樟柯# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频 ",,无,"https://f.video.weibocdn.com/o0/oKHqnUDelx08sypE6Qc00104120jzMrU0E070.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200835&ssig=d8417H1rOk&KID=unistore,video",无,2025-10-29 12:00,微博视频号,2286,582,456
QbcMncUwN,什么事让大导演贾樟柯当年跟路人起了冲突？10 月 29 日中午 12 点，听听功成名就却仍然满腔热血的贾导是如何路见不平挺身而出的。@贾樟柯#罗永浩深情表白贾樟柯# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/y7Jw0T6xlx08swPS1XUA010412002xwd0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200835&ssig=FVqfXeGzdN&KID=unistore,video",无,2025-10-28 13:00,微博视频号,288,15,52
QbcAbbVE1,为什么贾樟柯导演小时候“差点变成个混蛋”？10 月 29 日中午 12 点，听贾导讲述他荷尔蒙爆棚的青少年时代。@贾樟柯#罗永浩深情表白贾樟柯# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/loTFU4Bjlx08swPIc3DG010412002nCR0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200836&ssig=yfEvaccE5J&KID=unistore,video",无,2025-10-28 12:30,微博视频号,482,149,74
Qbco0EuVz,小时候的汾阳太多奇人异士，贾樟柯导演至今回想起来还会感慨“真是卧虎藏龙”。10 月 29 日中午 12 点，听贾导带我们回到当年那个充满魔幻气息的汾阳县城。@贾樟柯#罗永浩深情表白贾樟柯# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/PAK6f6bklx08swPBGThC010412003vOc0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200837&ssig=44j1UqYNCx&KID=unistore,video",无,2025-10-28 12:00,微博视频号,723,96,166
Qasi08ymq,:【新时代之老登困惑^_^】为什么女性粉丝比例达到百分之八九十￼的偶像女团，也穿得越来越暴露？舞蹈动作也是越来越擦边。有些韩团已经穿得比跳艳舞的还暴露了。￼在过去，娱乐公司把偶像女团打扮得特别暴露，以取悦男性粉丝，不是被女性激烈批评为物化女性吗？为什么现在的年轻女粉喜欢她们的女性偶像穿得如此暴露？跳舞如此淫荡？甚至去了臭名昭著的疯马秀跳脱衣舞也不塌房？￼￼几万人的体育场，要说观众都是拉拉，好像也不太可能。另外，换位思考一下，想象男性艺人在台上穿的特别暴露，不停地撩人，下边几万名男观众哇哇尖叫，狂喊哥哥杀我……这可能吗？到底是什么地方出了问题？虚心请教。,,无,无,无,2025-10-23 14:38,微博轻享版,4611,339,1010
QarfwyvWC,":【音频版】名创优品叶国富×罗永浩！重塑线下购物，让人们重新爱上逛街！
播客《罗永浩的十字路口》第八期，微博音频完整版已经上线，欢迎收听。
#罗永浩访谈叶国富后迫切想要开店# #罗永浩深度长谈播客# #声音引力场# #2025微博音频创享日# #微博声浪计划# #听见微博# #罗永浩的十字路口# 罗永浩的十字路口的微博音频",,无,无,无,2025-10-23 12:00,微博音频,232,30,48
Qakbdcvho,叶国富谈于东来：完全的理想主义者#罗永浩访谈叶国富后迫切想要开店# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/gubLk4Zelx08snyou1Cw010412005xj40E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200843&ssig=tcbBInhR3H&KID=unistore,video",无,2025-10-22 18:00,微博视频号,797,81,130
QajYYhuT0,Costco 总部告诉叶国富，超市的成功秘诀：慎重地选择每一个供应商#罗永浩访谈叶国富后迫切想要开店# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/0pwIdWbplx08snyhZUbS010412003pWn0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200844&ssig=SHcP2V0cAz&KID=unistore,video",无,2025-10-22 17:30,微博视频号,313,55,39
QajMNjFmz,叶国富：中国品牌想出海，必须要做国外没有的#罗永浩访谈叶国富后迫切想要开店# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/1g7HL9K0lx08snzqZ2nu010412003Xsn0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200844&ssig=dtF4pmANPJ&KID=unistore,video",无,2025-10-22 17:00,微博视频号,158,14,29
QaiJRzQHj,":【正片】叶国富×罗永浩！重塑线下购物，让人们重新爱上逛街！
一年 1000 家店，从 0 到 100 亿，为了 IP 业务转型要求做事的人一年至少浪费 1 个亿……这些数字既是一个狂飙突进商业奇迹的见证，也是一连串坐标，带我们了解这个奇迹是如何具体而微地被构建出来的。
对于任何一个想要探求商业运作背后机制和原理的人，这场访谈都是一次令人兴奋的旅程。过去这些年，中国企业家创造了太多激动人心，光彩夺目的商业故事，叶国富和他的名创优品无疑是其中异常璀璨的一个。将近三个小时的篇幅里，听他讲述如何从“卖杂货”起始，到加盟店开遍全球，随即成为中国最会玩 IP 的企业之一，继而又义无反顾投身被视为夕阳产业的超市领域，每一步都兼具敏锐的判断和扎实的执行。他是怎么做到的？
《罗永浩的十字路口》第八期，我们和叶国富一起聊聊他的线下零售世界。
#罗永浩访谈叶国富后迫切想要开店# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频",,无,"https://f.video.weibocdn.com/o0/IWlem9xElx08sntE6leM0104120gQdm90E060.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200848&ssig=Zo1LkoOZ3z&KID=unistore,video",无,2025-10-22 14:20,微博视频号,1851,362,179
QahGu3BjK,“下巴脱臼这个get不到，另外两个是真的贴切”。嗯......直接看图吧，脑补一下后面三个加了车牌后的蠢x样子。  原图 ,,https://wx3.sinaimg.cn/large/008tj0GNgy1i6l031etz6j32j03ttkjl.jpg,无,无,2025-10-22 11:38,微博网页版,349,14,100
Qahz3el9v,血盆大口，猪鼻子，下巴脱臼......欧洲工业设计礼崩乐坏时代的德国三傻。无关民族情绪，单纯从美学设计上，送你们一个晶字。  [组图共3张] 原图 ,,"https://ww1.sinaimg.cn/large/008tj0GNgy1i6kzjt9coyj317e0owgxv.jpg,https://ww1.sinaimg.cn/large/008tj0GNgy1i6kzjtqk0gj31p00yohdt.jpg,https://ww2.sinaimg.cn/large/008tj0GNgy1i6kzjtivb4j31gc1261iz.jpg",无,无,2025-10-22 11:20,微博网页版,1774,173,440
Qahkl8SgZ,:马路上看到一个老大爷......好吧，以我的年纪，我承认这个措辞有点装嫩了...重来：马路上看到一个老大哥，发型很怪， 怎么看都像假得不能再假的假发，但后脑勺却是有一点点秃的。没有人会戴一顶微秃的假发，所以，便宜的假发如果想设计得让人看不出来，故意把它做得微秃是一个可能的方向。【产品经理的日常思考】,,无,无,无,2025-10-22 10:44,微博网页版,1143,54,272
Qa902bSyy,叶国富感慨：于东来是大爱。10 月 22 日中午 12 点，听名创优品叶国富聊聊“胖改店”的故事。#罗永浩访谈叶国富后迫切想要开店##罗永浩深度长谈播客##罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/6EDXG5uHlx08slRYFnOM010412002mDe0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200860&ssig=PseXS%2FcaY%2B&KID=unistore,video",无,2025-10-21 13:32,微博视频号,555,51,150
Qa8N4daMS,“富养”原来是这个意思！10 月 22 日中午 12 点，听听一向务实的叶国富为何放言要“浪费一个亿”？#罗永浩访谈叶国富后迫切想要开店##罗永浩深度长谈播客##罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/XVRiyY1blx08slPKoHP2010412001g2i0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200861&ssig=BfBL%2FOnpqr&KID=unistore,video",无,2025-10-21 13:00,微博视频号,285,24,64
Qa8AWt8Qf,我的潮玩消费需求终于有着落了！因为叶国富说了“他来管”。10 月 22 日中午 12 点，听名创优品叶国富讲述他正在打造的潮玩帝国。#罗永浩访谈叶国富后迫切想要开店##罗永浩深度长谈播客##罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/mXP4x9KClx08slNHyXYk010412001zPd0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200861&ssig=AWzsvaYU1n&KID=unistore,video",无,2025-10-21 12:30,微博视频号,271,12,81
Qa8p93efW,是继续这个访谈，还是去开一家店？10 月 22 日中午 12 点，听名创优品叶国富讲述线下开店的魅力。#罗永浩访谈叶国富后迫切想要开店##罗永浩深度长谈播客##罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/ChZ6xydTlx08slLIaZFK0104120027pW0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1766200862&ssig=JaGyal97fe&KID=unistore,video",无,2025-10-21 12:01,微博视频号,380,29,81
Q9G72iDi9,【音频版】宋方金×罗永浩！故事必须有人讲下去播客《罗永浩的十字路口》第七期，微博音频完整版已经上线，欢迎收听。#罗永浩深度长谈播客# #声音引力场# #2025微博音频创享日# #微博声浪计划# #听见微博# #罗永浩的十字路口# #罗永浩听宋方金解析微短剧# 罗永浩的十字路口的微博音频  ,,无,无,无,2025-10-18 12:00,微博音频,783,90,212
Q9DxnnZZK,还是有弹幕的好玩儿  原图 ,,https://wx1.sinaimg.cn/large/008tj0GNgy1i6g2u8d2woj31w20zue68.jpg,无,无,2025-10-18 05:26,微博网页版,1028,23,226
Q9zr1lxOl,宋方金：今天的观众，已经不是当年的观众了#罗永浩听宋方金解析微短剧# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/XMI19gqulx08sedlXdS8010412007TnZ0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200862&ssig=FBF0y7OClq&KID=unistore,video",无,2025-10-17 19:00,微博视频号,537,34,66
Q9zeQiclE,宋方金：张艺谋的电影就是他的生活，休息才是他的工作#罗永浩听宋方金解析微短剧# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/WlPiOok7lx08sedh9oqA010412007tgd0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200863&ssig=U1h69dPMkX&KID=unistore,video",无,2025-10-17 18:30,微博视频号,301,6,33
Q9z2Fltpi,宋方金回忆陈道明，对于老一辈艺术家的尊重#罗永浩听宋方金解析微短剧# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/giQqmLF2lx08sedbYl6M010412005CC50E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200863&ssig=HFcMqWWIAf&KID=unistore,video",无,2025-10-17 18:00,微博视频号,258,22,21
Q9yQuh1dH,宋方金：电影分两种，一种励志片，一种绝望片#罗永浩听宋方金解析微短剧# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/G6aP29o6lx08sed6UuuY010412003Flu0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200864&ssig=kzs3VTihxv&KID=unistore,video",无,2025-10-17 17:30,微博视频号,161,13,22
Q9yEjh00e,宋方金：今天的微短剧，就像是当初的网剧#罗永浩听宋方金解析微短剧# #罗永浩深度长谈播客# #罗永浩的十字路口# 罗永浩的十字路口的微博视频  ,,无,"https://f.video.weibocdn.com/o0/3unipIeKlx08sed2HNva010412005TN10E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1766200873&ssig=vIrXnTgaW2&KID=unistore,video",无,2025-10-17 17:00,微博视频号,162,17,20
